uFips,Latitude (generated),Longitude (generated),Living Wage Calculators
56045,43.841,-104.568,22449
56043,43.95,-107.83,22449
56041,41.287,-110.547,22601.135047780
56039,43.937,-110.553,22236.164772727
56037,41.631,-108.779,23556.826339286
56035,42.865,-109.833,22303
56033,44.777,-106.96,23618.341808313
56031,42.131,-104.969,22449
56029,44.405,-109.803,22316
56027,43.055,-104.476,22459
56025,42.962,-106.807,22662.635274985
56023,42.013,-110.546,23428
56021,41.326,-104.666,22751.098394029
56019,44.024,-106.689,22449
56017,43.733,-108.454,22449
56015,42.087,-104.354,22276
56013,42.919,-108.777,22769.674579961
56011,44.589,-104.571,22449
56009,42.893,-105.485,22255
56007,41.718,-106.999,22592
56005,44.248,-105.549,22227.651875670
56003,44.574,-107.883,22255
56001,41.714,-105.797,22963.664534471
55141,44.466,-90.021,19268.050039261
55139,44.069,-88.644,19754.128397739
55137,44.113,-89.241,19944
55135,44.461,-88.914,20048
55133,43.017,-88.302,20414.628270266
55131,43.368,-88.229,20415.908414052
55129,45.898,-91.795,19759
55127,42.668,-88.541,20619.919160819
55125,46.056,-89.488,20417
55123,43.574,-90.792,19222
55121,44.29,-91.382,19305
55119,45.203,-90.484,18964
55117,43.692,-87.969,20067.727191011
55115,44.767,-88.733,19730.547496025
55113,45.897,-91.114,19263
55111,43.416,-89.955,20500.580827461
55109,45.035,-92.469,21521.443287442
55107,45.465,-91.109,19882
55105,42.671,-89.072,19697.086748584
55103,43.377,-90.431,19821
55101,42.74,-88.021,20581.007841328
55099,45.68,-90.361,19222
55097,44.465,-89.534,19274.350418785
55095,45.469,-92.521,19697
55093,44.714,-92.471,21521.276652343
55091,44.64,-91.983,19222
55089,43.343,-87.969,20415.674349063
55087,44.416,-88.464,19303.069327097
55085,45.727,-89.545,20621
55083,44.935,-88.22,19830.320619555
55081,43.943,-90.645,19459
55079,42.994,-87.916,20408.694978883
55078,44.986,-88.733,19271.541153846
55077,43.812,-89.383,19284
55075,45.375,-87.935,19747.044525400
55073,44.902,-89.77,20002.867761026
55071,44.052,-87.82,19337.686061565
55069,45.337,-89.735,19048.136853448
55067,45.246,-89.032,19511
55065,42.661,-90.132,19222
55063,43.904,-91.166,19329.963077638
55061,44.433,-87.598,19397.350998616
55059,42.57,-88.021,21758.799984294
55057,43.945,-90.049,19676
55055,43.02,-88.774,19959.995083719
55053,44.29,-90.739,19212
55051,46.243,-90.24,18964
55049,42.989,-90.133,20591.150080412
55047,43.807,-89.065,19222
55045,42.68,-89.602,19566.874051282
55043,42.882,-90.791,19467.388804139
55041,45.702,-88.736,19222
55039,43.762,-88.522,19244.258784773
55037,45.853,-88.371,18983.879062366
55035,44.726,-91.285,20122.536796869
55033,44.946,-91.903,19467.753483607
55031,46.451,-91.921,19372.160132329
55029,44.994,-87.228,19274
55027,43.415,-88.704,19571.126191653
55025,43.075,-89.423,21552.408478314
55023,43.242,-90.94,19882
55021,43.468,-89.395,20253.682393791
55019,44.726,-90.619,19016
55017,45.074,-91.294,20125.528894644
55015,44.09,-88.223,19298.756632146
55013,45.858,-92.459,19222
55011,44.377,-91.806,20437
55009,44.459,-88.005,19394.762912983
55007,46.619,-91.143,19026
55005,45.423,-91.848,19170
55003,46.21,-90.688,19222
55001,43.966,-89.812,19222
54109,37.634,-81.539,19496
54107,39.231,-81.497,19114.316226138
54105,39.028,-81.371,19125.186063218
54103,39.593,-80.666,19568
54101,38.496,-80.431,19496
54099,38.112,-82.418,18560.734692477
54097,38.928,-80.226,19413
54095,39.45,-80.87,19496
54093,39.11,-79.563,19496
54091,39.32,-80.049,18854.222267454
54089,37.564,-80.877,19527
54087,38.721,-81.314,18681
54085,39.168,-81.069,19496
54083,38.892,-79.814,19635.367533719
54081,37.7,-81.224,19543.492360173
54079,38.537,-81.88,20157.692539405
54077,39.496,-79.688,20960.632180157
54075,38.271,-79.99,19217
54073,39.369,-81.189,19372
54071,38.688,-79.353,19496
54069,40.101,-80.629,19366.8475
54067,38.282,-80.834,19496
54065,39.524,-78.245,19909
54063,37.586,-80.539,19496
54061,39.64,-80.093,20941.133109620
54059,37.654,-82.108,18392
54057,39.347,-78.964,19097.225320019
54055,37.435,-81.105,18894.333860646
54053,38.831,-81.997,18922.020066890
54051,39.875,-80.694,19391.637404580
54049,39.507,-80.218,20087.011618900
54047,37.362,-81.653,19651
54045,37.813,-81.902,19062.273589379
54043,38.193,-82.053,20162.410506741
54041,39.002,-80.514,19702
54039,38.366,-81.554,20163.766132097
54037,39.293,-77.877,21741.399237934
54035,38.858,-81.706,19217
54033,39.286,-80.385,20585.312031952
54031,39.004,-78.821,19485
54029,40.51,-80.592,19006.471436773
54027,39.33,-78.659,20668.925738341
54025,37.979,-80.427,19320
54023,39.1,-79.233,20116
54021,38.944,-80.831,19609
54019,38.033,-81.064,18496.048158448
54017,39.257,-80.719,19076.676957929
54015,38.498,-81.05,20191.400412797
54013,38.841,-81.132,19496
54011,38.449,-82.277,18540.608099878
54009,40.287,-80.599,19013.678836720
54007,38.695,-80.736,18629
54005,38.016,-81.717,18999.832122191
54003,39.454,-78.026,19884.964332508
54001,39.102,-80.017,19351
53077,46.476,-120.694,18267.592084124
53075,46.978,-117.644,17614.745815603
53073,48.823,-121.988,19355.447251328
53071,46.285,-118.516,18086.968788561
53069,46.324,-123.47,17717
53067,46.913,-122.702,20900.039398228
53065,48.416,-117.915,18142.032827169
53063,47.653,-117.431,17890.954193796
53061,48.037,-121.682,21653.881707032
53059,46.035,-121.882,20383.985886969
53057,48.47,-121.727,19727.399144297
53055,48.583,-122.983,20357
53053,46.983,-122.113,20214.986535150
53051,48.523,-117.33,18371.748876124
53049,46.525,-123.769,17695
53047,48.533,-119.86,18181
53045,47.346,-123.153,18330.987659209
53043,47.546,-118.399,17803
53041,46.575,-122.367,18007.603274728
53039,45.871,-120.739,17889
53037,47.137,-120.695,18761.796079481
53035,47.589,-122.729,19467.034017683
53033,47.473,-121.803,21667.772964509
53031,47.699,-123.655,19045
53029,48.19,-122.595,19219.776665753
53027,47.155,-123.794,17887.595042454
53025,47.134,-119.508,18275.223488534
53023,46.339,-117.546,17717
53021,46.509,-118.828,18934.975305076
53019,48.438,-118.487,18224
53017,47.718,-119.634,18422.671728127
53015,46.151,-122.728,17647.402952670
53013,46.293,-117.922,17558.634821826
53011,45.786,-122.52,20384.642700844
53009,48.077,-123.872,17849.471790015
53007,47.819,-120.52,18422.847565279
53005,46.281,-119.408,18940.092010938
53003,46.208,-117.197,18583.297364495
53001,46.998,-118.664,17776.266783264
51840,39.173,-78.168,20313.402777778
51830,37.265,-76.703,21821.997670355
51820,38.07,-78.903,19033.668737382
51810,36.783,-76.012,21823.879804862
51800,36.683,-76.665,21813.819179665
51790,38.157,-79.062,19035.166241989
51775,37.284,-80.066,19440.778199566
51770,37.266,-79.957,19429.701002735
51760,37.521,-77.493,21863.319691192
51750,37.132,-80.551,19552.270124257
51740,36.865,-76.355,21824.674471876
51735,37.153,-76.274,21807.763400576
51730,37.206,-77.392,21854.342271168
51720,36.929,-82.625,18997.067301875
51710,36.92,-76.239,21834.502125693
51700,37.076,-76.503,21823.902303214
51690,36.687,-79.865,18247.499547307
51685,38.77,-77.449,24832.103969426
51683,38.751,-77.487,24841.752105683
51680,37.397,-79.178,19382.324358974
51678,37.784,-79.438,19302
51670,37.292,-77.295,21853.211390416
51660,38.45,-78.871,20248.401121173
51650,37.042,-76.292,21821.677288528
51640,36.672,-80.913,19615
51630,38.297,-77.489,24828.532043531
51620,36.684,-76.939,20292
51610,38.885,-77.172,24908.853483917
51600,38.852,-77.301,24850.594043321
51595,36.695,-77.535,19615
51590,36.582,-79.41,19129.230821607
51580,37.781,-79.987,19615
51570,37.261,-77.396,21851.701856764
51550,36.687,-76.278,21817.401089359
51540,38.042,-78.484,21033.335775336
51530,37.732,-79.355,19302
51520,36.61,-82.173,18408.153138075
51515,37.339,-79.523,19380.220043410
51510,38.815,-77.09,24974.71875
51199,37.164,-76.445,21811.668367730
51197,36.917,-81.059,19269
51195,37.032,-82.588,19040.919430625
51193,38.11,-76.79,20221
51191,36.732,-81.968,18433.952238806
51187,38.898,-78.195,21284.127832286
51185,37.098,-81.563,19037.396982848
51183,36.913,-77.286,21850.038496792
51181,37.097,-76.898,21714
51179,38.443,-77.46,24757.961842202
51177,38.185,-77.662,24750.130516297
51175,36.692,-77.158,20292
51173,36.825,-81.549,19615
51171,38.838,-78.584,18891
51169,36.733,-82.639,18458.487809598
51167,36.946,-82.093,19615
51165,38.612,-78.855,20255.570968184
51163,37.918,-79.416,19302
51161,37.209,-80.05,19448.681178735
51159,37.906,-76.722,19935
51157,38.706,-78.136,21110.582486268
51155,37.043,-80.722,19400.309768819
51153,38.656,-77.467,24803.376504298
51149,37.205,-77.185,21846.269018968
51147,37.212,-78.461,19955
51145,37.557,-77.893,21849.543644317
51143,36.852,-79.403,19181.279211638
51141,36.688,-80.333,19615
51139,38.581,-78.488,19925
51137,38.223,-78.036,20741
51135,37.133,-78.017,20445
51133,37.875,-76.405,19680
51131,37.312,-75.869,19853
51127,37.489,-76.988,21847.357161475
51125,37.752,-78.906,21054.720005149
51121,37.169,-80.395,19573.600900626
51119,37.572,-76.446,19723
51117,36.702,-78.383,19615
51115,37.407,-76.294,21809.292875284
51113,38.414,-78.267,20190
51111,36.964,-78.248,19129
51109,37.999,-77.996,20414
51107,39.125,-77.644,24802.870441767
51105,36.662,-83.223,19615
51103,37.703,-76.409,20557
51101,37.675,-77.061,21850.471402214
51099,38.255,-77.172,21009
51097,37.745,-76.916,21796
51095,37.254,-76.746,21809.693049625
51093,36.942,-76.687,21805.631460213
51091,38.379,-79.559,19615
51089,36.603,-79.867,18289.050135407
51087,37.469,-77.415,21853.927261126
51085,37.786,-77.452,21848.227006281
51083,36.761,-78.883,19399
51081,36.782,-77.531,19615
51079,38.33,-78.474,21054.970652971
51077,36.668,-81.257,19615
51075,37.712,-77.887,21847.216796875
51073,37.396,-76.508,21808.874889147
51071,37.295,-80.723,19123.018376723
51069,39.219,-78.288,20318.934603355
51067,36.989,-79.913,18697.261303147
51065,37.846,-78.277,21055.024390244
51063,36.912,-80.369,18935.279633099
