FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02105,6276,0,3607,4054,2086,2284,2109,20416,0.26,0,3904,8029,4054,2228,-6876,19899,0.30,987,-7346,18188,0.22,2242,-6864,19925,0.00,0.00,0.29,0.77,524,-19668,5403,0.06,1232,-7668,18111,0.13,16518,4708,-8029,18111,0.46
02068,5484,0,3607,4054,2086,2284,2018,19533,0.17,0,4241,8029,4054,2228,-6876,19444,0.17,987,-7346,17733,0.09,2242,-6864,19470,0.00,0.00,0.17,0.77,524,-19668,4948,0.04,-2,-7668,16422,0.03,16063,4708,-8029,16422,0.29
02240,7092,0,3607,4054,2086,2284,2203,21326,0.21,0,4253,8029,4054,2752,-6478,21986,0.22,1404,-6877,20239,0.23,2778,-6455,22035,0.00,0.00,0.21,0.77,627,-19668,6671,0.04,2237,-6868,21081,0.23,17683,5274,-8029,21081,0.32
02013,6144,0,3607,4054,2086,2284,2094,20269,0.22,0,5146,8029,4054,2752,-6478,21931,0.21,1404,-6877,20184,0.24,2778,-6455,21980,0.00,0.00,0.20,0.77,627,-19668,6616,0.03,2237,-6868,21026,0.24,17628,5274,-8029,21026,0.33
02290,6888,0,3607,4054,2086,2284,2179,21098,0.39,0,4305,8029,4054,2752,-6478,21834,0.39,1404,-6877,20087,0.42,2778,-6455,21883,0.00,0.00,0.38,0.77,627,-19668,6519,0.11,2237,-6868,20929,0.42,17531,5274,-8029,20929,0.57
02100,7044,0,3607,4054,2086,2284,2197,21272,0.18,0,4111,8029,4054,2752,-6478,21796,0.18,1404,-6877,20049,0.22,2778,-6455,21845,0.00,0.00,0.18,0.77,627,-19668,6481,0.04,2237,-6868,20891,0.22,17493,5274,-8029,20891,0.37
02275,6924,0,3607,4054,2086,2284,2184,21139,0.28,0,4176,8029,4054,2752,-6478,21741,0.28,1404,-6877,19994,0.30,2778,-6455,21790,0.00,0.00,0.28,0.77,627,-19668,6426,0.05,2237,-6868,20836,0.30,17438,5274,-8029,20836,0.46
02195,7140,0,3607,4054,2086,2284,2208,21379,0.21,0,3904,8029,4054,2752,-6478,21685,0.22,1404,-6877,19938,0.24,2778,-6455,21734,0.00,0.00,0.21,0.77,627,-19668,6370,0.04,2237,-6868,20780,0.24,17382,5595,-8029,20780,0.36
02130,6888,0,3607,4054,2086,2284,2179,21098,0.18,0,3762,8029,4259,2752,-6478,21496,0.18,1404,-6877,19749,0.20,2778,-6455,21545,0.00,0.00,0.17,0.77,627,-19668,6181,0.04,1751,-7308,19665,0.14,17193,5595,-8029,19665,0.36
02282,6156,0,3607,4054,2086,2284,2095,20282,0.18,0,4331,8029,4054,2752,-6478,21128,0.16,1404,-6877,19381,0.18,2778,-6455,21177,0.00,0.00,0.16,0.77,524,-19668,5710,0.02,1232,-7668,18418,0.00,16825,4708,-8029,18418,0.34
