FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02198,8700,13295,8002,8509,6397,4344,5673,54920,0.53,11851,8662,17045,8509,6764,-9737,56138,0.44,-19385,-16260,23466,0.21,6700,-9731,56080,0.00,2.51,0.53,0.93,4546,-25862,37795,0.32,1915,-12218,48808,0.17,42066,5398,-17045,47464,0.55
02290,8520,13295,8002,8509,6397,4344,5653,54720,0.50,11851,9551,17045,8509,6764,-9737,56847,0.59,-19385,-16260,24175,0.10,6700,-9731,56789,0.00,2.89,0.50,0.93,4546,-25862,38504,0.47,1915,-12218,49517,0.22,42775,5398,-17045,48173,0.77
02164,8520,13295,8002,8509,6397,4344,5653,54720,0.46,12032,9465,17045,8509,6764,-9737,56941,0.48,-19385,-16260,24269,0.06,6700,-9731,56883,0.00,2.83,0.46,0.93,4546,-25862,38598,0.38,1915,-12218,49611,0.15,42869,5398,-17045,48267,0.71
02282,8580,13295,8002,8509,6397,4344,5660,54787,0.37,11851,9608,17045,8509,6764,-9737,56965,0.34,-19385,-16260,24293,0.00,6700,-9731,56907,0.00,2.89,0.30,0.93,4546,-25862,38622,0.20,1915,-12218,49635,-0.01,42893,5398,-17045,48291,0.58
02195,9936,13295,8002,8509,6397,4344,5816,56299,0.40,11851,8662,17045,8509,7044,-9456,57935,0.39,-19729,-16260,24358,0.15,6980,-9386,57941,0.00,2.51,0.39,0.93,5216,-25470,40093,0.25,2456,-11813,50990,0.24,43302,6050,-17045,49352,0.41
02275,9648,13295,8002,8509,6397,4344,5783,55978,0.51,11851,9264,17045,8509,7044,-9456,58249,0.50,-19729,-16260,24672,0.12,6980,-9386,58255,0.00,2.51,0.50,0.93,5216,-25470,40407,0.34,2456,-11813,51304,0.30,43616,6050,-17045,49666,0.54
02261,10296,13295,8002,8509,6397,4344,5857,56700,0.32,11851,9436,17045,8509,7301,-9198,59584,0.30,-20045,-16260,25176,0.15,7237,-9070,59648,0.00,2.64,0.30,0.93,5830,-25078,42233,0.29,2954,-11442,52993,0.21,44436,6648,-17045,51084,0.44
02068,7644,13295,8002,8509,6397,4344,5552,53743,0.25,14599,9408,17045,8509,7301,-9198,59652,0.29,-20045,-16260,25244,0.10,7237,-9070,59716,0.00,2.40,0.29,0.93,5830,-25078,42301,0.19,2954,-11442,53061,0.15,44504,6648,-17045,51152,0.47
02270,8712,13295,8002,8509,6397,4344,5675,54934,0.62,11851,11415,17045,8509,7301,-9198,59979,0.58,-20045,-16260,25571,0.19,7237,-9070,60043,0.00,2.64,0.58,0.93,5830,-25078,42628,0.41,2954,-11442,53388,0.29,44831,6648,-17045,51479,0.79
02130,11580,13295,8002,8509,6397,4344,6005,58132,0.35,12032,8346,17045,8939,7301,-9198,60389,0.29,-20045,-16260,25981,0.10,7237,-9070,60453,0.00,2.58,0.33,0.93,5830,-25078,43038,0.27,2954,-11442,53798,0.23,45241,6648,-17045,51889,0.58
