FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
1001,AL,11712,14676,8887,11553,5471,5178,8921,13449,9747.210433,9232,11217,60535,8757,-14795,10677,8757,66398,69292,45740,71212,69292
1003,AL,14628,14676,8887,11553,5471,5178,9373,14742,10065.74672,9232,11289,65135,9863,-12842,12311,9863,69766,74998,52293,77446,74998
1005,AL,8712,14676,8887,11553,5471,5178,8455,14676,9619.795917,9232,11553,58971,8204,-15771,9860,8204,62932,67175,43200,68831,67175
1007,AL,11712,14676,8887,11553,5471,5178,8921,14245,9651.649546,9232,11278,61297,8757,-14795,10677,8757,66398,70054,46502,71974,70054
1009,AL,11712,14676,8887,11553,5471,5178,8921,13001,9046.430598,9232,11280,59449,8204,-15771,9860,8204,66398,67653,43678,69309,67653
1011,AL,8976,14676,8887,11553,5471,5178,8496,14676,9269.406,9232,11553,58884,8204,-15771,9860,8204,63237,67088,43113,68744,67088
1013,AL,9864,14676,8887,11553,5471,5178,8634,14676,9301.259629,9232,11553,59804,8204,-15771,9860,8204,64263,68008,44033,69664,68008
1015,AL,10524,14676,8887,11553,5471,5178,8736,14472,9619.795917,9232,10463,59488,8204,-15771,9860,8204,65025,67692,43717,69348,67692
1017,AL,9204,14676,8887,11553,5471,5178,8531,13686,8823.455196,9232,9983,56106,7651,-16747,9043,7651,63500,63757,39359,65149,63757
1019,AL,10008,14676,8887,11553,5471,5178,8656,14676,9269.406,9232,11553,59916,8204,-15771,9860,8204,64429,68120,44145,69776,68120
1021,AL,9096,14676,8887,11553,5471,5178,8515,14427,8887.162454,9232,11277,58097,8204,-15771,9860,8204,63376,66301,42326,67957,66301
1023,AL,10344,14676,8887,11553,5471,5178,8708,14676,9110.137856,9232,11553,60093,8757,-14795,10677,8757,64817,68850,45298,70770,68850
1025,AL,9480,14676,8887,11553,5471,5178,8574,14676,9333.113258,9232,11553,59452,8204,-15771,9860,8204,63819,67656,43681,69312,67656
1027,AL,9108,14676,8887,11553,5471,5178,8516,14676,9460.527773,9232,11553,59208,8204,-15771,9860,8204,63389,67412,43437,69068,67412
1029,AL,8928,14676,8887,11553,5471,5178,8488,14676,9205.698742,9232,11553,58773,8204,-15771,9860,8204,63181,66977,43002,68633,66977
1031,AL,9732,14676,8887,11553,5471,5178,8613,14358,9428.674144,9232,11162,59091,8204,-15771,9860,8204,64110,67295,43320,68951,67295
1033,AL,10188,14676,8887,11553,5471,5178,8684,14445,9078.284227,9232,10704,58825,8204,-15771,9860,8204,64637,67029,43054,68685,67029
1035,AL,10008,14676,8887,11553,5471,5178,8656,14676,9428.674144,9232,11553,60076,8757,-14795,10677,8757,64429,68833,45281,70753,68833
1037,AL,8460,14676,8887,11553,5471,5178,8416,13353,9524.235031,9232,10180,55926,7098,-17628,8226,7098,62641,63024,38298,64152,63024
1039,AL,9816,14676,8887,11553,5471,5178,8626,14676,9587.942289,9232,11553,60043,8757,-14795,10677,8757,64207,68800,45248,70720,68800
1041,AL,9732,14676,8887,11553,5471,5178,8613,14676,9078.284227,9232,11553,59449,8204,-15771,9860,8204,64110,67653,43678,69309,67653
1043,AL,8724,14676,8887,11553,5471,5178,8457,13683,8504.918907,9232,10455,55777,7098,-17628,8226,7098,62946,62875,38149,64003,62875
1045,AL,9900,14676,8887,11553,5471,5178,8639,15055,8664.187051,9232,11078,59107,8204,-15771,9860,8204,64304,67311,43336,68967,67311
1047,AL,8688,14676,8887,11553,5471,5178,8451,13648,9269.406,9232,9619,55635,7098,-17628,8226,7098,62904,62733,38007,63861,62733
1049,AL,8832,14676,8887,11553,5471,5178,8474,14676,9269.406,9232,11553,58740,8204,-15771,9860,8204,63071,66944,42969,68600,66944
1051,AL,11712,14676,8887,11553,5471,5178,8921,13907,9683.503175,9232,11224,60937,8757,-14795,10677,8757,66398,69694,46142,71614,69694
1053,AL,8460,14676,8887,11553,5471,5178,8416,14676,9396.820515,9232,11553,58496,8204,-15771,9860,8204,62641,66700,42725,68356,66700
1055,AL,8904,14676,8887,11553,5471,5178,8485,13684,8600.479794,9232,10357,55956,7098,-17628,8226,7098,63154,63054,38328,64182,63054
1057,AL,8916,14676,8887,11553,5471,5178,8487,14676,9364.966886,9232,11553,58920,8204,-15771,9860,8204,63168,67124,43149,68780,67124
1059,AL,8568,14676,8887,11553,5471,5178,8433,14676,8664.187051,9232,11553,57871,7651,-16747,9043,7651,62766,65522,41124,66914,65522
1061,AL,9060,14676,8887,11553,5471,5178,8509,14980,9301.259629,9232,10936,58688,8204,-15771,9860,8204,63334,66892,42917,68548,66892
1063,AL,12276,14676,8887,11553,5471,5178,9008,14676,9619.795917,9232,11553,62535,9310,-13819,11494,9310,67049,71845,48716,74029,71845
1065,AL,12276,14676,8887,11553,5471,5178,9008,13313,9619.795917,9232,11254,60873,8757,-14795,10677,8757,67049,69630,46078,71550,69630
1067,AL,10008,14676,8887,11553,5471,5178,8656,13807,9364.966886,9232,10948,58537,8204,-15771,9860,8204,64429,66741,42766,68397,66741
1069,AL,9060,14676,8887,11553,5471,5178,8509,16433,9460.527773,9232,10887,60251,8757,-14795,10677,8757,63334,69008,45456,70928,69008
