FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Below LWC,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
1001,7164,0,5540,8554,4799,3916,4652,34625,0,6076,6836,8305,32298,2999,-4430,33432,0.31,1951,-4430,31462,0.33,2999,-4430,33562,0.31,5958,-16430,17742,0.08,2999,-4430,35725,0.28,1793,-6077,46725,0.46
1003,8376,0,5540,8554,4799,3916,4840,36025,0,6275,6836,8359,33761,2999,-4430,35058,0.3,1951,-4430,33020,0.32,2999,-4430,35187,0.3,5958,-16430,19516,0.16,2999,-4430,37321,0.38,1793,-6077,45261,0.49
1005,5172,0,5540,8554,4799,3916,4343,32324,0,5997,6836,8554,30475,2999,-4430,29065,0.43,1951,-4430,27179,0.44,2999,-4430,29194,0.42,5958,-16430,16177,0.19,2999,-4430,31429,0.49,1793,-6077,41741,0.59
1007,7524,0,5540,8554,4799,3916,4708,35041,0,6017,6836,8350,32643,2999,-4430,33087,0.44,1951,-4430,31116,0.3,2999,-4430,33216,0.44,5958,-16430,17397,0.05,2999,-4430,35380,0.4,1793,-6077,46380,0.63
1009,7524,0,5540,8554,4799,3916,4708,35041,0,5639,6836,8352,32267,2999,-4430,33463,0.37,1951,-4430,31492,0.39,2999,-4430,33592,0.37,5958,-16430,17772,0.08,2999,-4430,35756,0.34,1793,-6077,46756,0.53
1011,5724,0,5540,8554,4799,3916,4428,32961,0,5778,6836,8554,30808,2999,-4430,31832,0.5,1951,-4430,29917,0.41,2999,-4430,31961,0.5,5958,-16430,15843,0.22,2999,-4430,31096,0.39,1793,-6077,41407,0.59
1013,5172,0,5540,8554,4799,3916,4343,32324,0,5798,6836,8554,30276,2999,-4430,29263,0.45,1951,-4430,27378,0.47,2999,-4430,29393,0.45,5958,-16430,16375,0.16,2999,-4430,31628,0.53,1793,-6077,41940,0.62
1015,6192,0,5540,8554,4799,3916,4501,33502,0,5997,6836,7747,30687,2999,-4430,31953,0.43,1951,-4430,30038,0.34,2999,-4430,32082,0.43,5958,-16430,15964,0.15,2999,-4430,31217,0.33,1793,-6077,41528,0.53
1017,5460,0,5540,8554,4799,3916,4387,32656,0,5500,6836,7391,29104,2999,-4430,27296,0.44,1951,-4430,25478,0.34,2999,-4430,27426,0.44,5958,-16430,13736,0.23,2999,-4430,29729,0.4,1793,-6077,39843,0.52
1019,5664,0,5540,8554,4799,3916,4419,32892,0,5778,6836,8554,30748,2999,-4430,31892,0.49,1951,-4430,29977,0.4,2999,-4430,32021,0.49,5958,-16430,15903,0.17,2999,-4430,31156,0.38,1793,-6077,41467,0.58
1021,5388,0,5540,8554,4799,3916,4376,32573,0,5540,6836,8349,30030,2999,-4430,29510,0.3,1951,-4430,27624,0.34,2999,-4430,29639,0.3,5958,-16430,14219,0.15,2999,-4430,31875,0.42,1793,-6077,42186,0.53
1023,6132,0,5540,8554,4799,3916,4492,33433,0,5679,6836,8554,31117,2999,-4430,31523,0.51,1951,-4430,29609,0.42,2999,-4430,31653,0.51,5958,-16430,15534,0.19,2999,-4430,33846,0.48,1793,-6077,41099,0.59
1025,5256,0,5540,8554,4799,3916,4356,32421,0,5818,6836,8554,30380,2999,-4430,29159,0.47,1951,-4430,27274,0.48,2999,-4430,29289,0.47,5958,-16430,16271,0.22,2999,-4430,31524,0.53,1793,-6077,41836,0.59
1027,5088,0,5540,8554,4799,3916,4330,32227,0,5898,6836,8554,30292,2999,-4430,29248,0.43,1951,-4430,27362,0.45,2999,-4430,29377,0.43,5958,-16430,16360,0.15,2999,-4430,31613,0.49,1793,-6077,41924,0.61
1029,5292,0,5540,8554,4799,3916,4361,32462,0,5739,6836,8554,30337,2999,-4430,29203,0.38,1951,-4430,27317,0.41,2999,-4430,29332,0.38,5958,-16430,16315,0.17,2999,-4430,31567,0.47,1793,-6077,41879,0.57
1031,5592,0,5540,8554,4799,3916,4408,32809,0,5878,6836,8265,30486,2999,-4430,29053,0.32,1951,-4430,27168,0.34,2999,-4430,29183,0.32,5958,-16430,16165,0.13,2999,-4430,31418,0.4,1793,-6077,41730,0.48
1033,5976,0,5540,8554,4799,3916,4467,33252,0,5659,6836,7925,30312,2999,-4430,29227,0.36,1951,-4430,27342,0.38,2999,-4430,29357,0.35,5958,-16430,16339,0.12,2999,-4430,31592,0.44,1793,-6077,41903,0.53
1035,5232,0,5540,8554,4799,3916,4352,32393,0,5878,6836,8554,30416,2999,-4430,29124,0.53,1951,-4430,27238,0.55,2999,-4430,29253,0.52,5958,-16430,16236,0.26,2999,-4430,31488,0.61,1793,-6077,41800,0.67
1037,5724,0,5540,8554,4799,3916,4428,32961,0,5937,6836,7537,29950,2999,-4430,29589,0.44,1951,-4430,27704,0.46,2999,-4430,29719,0.44,5958,-16430,14298,0.21,2999,-4430,31954,0.52,1793,-6077,42265,0.62
1039,5244,0,5540,8554,4799,3916,4354,32407,0,5977,6836,8554,30527,2999,-4430,29012,0.38,1951,-4430,27127,0.41,2999,-4430,29142,0.38,5958,-16430,16124,0.14,2999,-4430,31377,0.48,1793,-6077,41689,0.57
1041,5100,0,5540,8554,4799,3916,4332,32241,0,5659,6836,8554,30065,2999,-4430,29474,0.38,1951,-4430,27589,0.41,2999,-4430,29604,0.38,5958,-16430,14183,0.2,2999,-4430,31839,0.47,1793,-6077,42151,0.54
