FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Marriage Wage,MIDS Daycare Wage,MIDS Below LWC, 4xTC Taxes , 4xTC Benefits , 4xTC LW , 4xTC Marriage Wage , 4xTC Daycare Wage ,4xTC Below LWC, 8xTC Taxes , 8xTC Benefits , 8xTC LW , 8xTC Marriage Wage , 8xTC Daycare Wage ,8xTC Below LWC, Marriage Credit Taxes , Marriage Credit Benefits , Marriage Credit LWC , Marriage Credit Marriage Wage , Marriage Credit Daycare Wage ,Marriage Credit Below LWC,Daycare Tax, Daycare Benefits , Daycare LWC , Daycare Marriage Wage , Daycare Daycare Wage ,Daycare Below LWC, UBI_12k Tax , UBI_12k Benefits , UBI_12k LWC , UBI_12k Marriage Wage , UBI_12k Daycare Wage ,UBI_12k Below LWC, UBI_6k+MBI_12k Tax , UBI_6k+MBI_12k Benefits , UBI_6k+MBI_12k LWC , UBI_6k+MBI_12k Marriage Wage , UBI_6k+MBI_12k Daycare Wage ,UBI_6k+MBI_12k Below LWC, MBI_24k Tax , MBI_24k Benefits , MBI_24k LWC , MBI_24k Marriage Wage , MBI_24k Daycare Wage ,MBI_24k Below LWC, Expanded Safety Net Tax , Expanded Safety Net Benefits , Expanded Safety Net LWC , Expanded Safety Net Marriage Wage , Expanded Safety Net Daycare Wage ,Expanded Safety Net Below LWC
2198,8700,7977,8234,8509,6397,4344,5087,49248,7111,8913,20566,8509,6740,-12268,51984.61,5547.48,24738.74,0.51,-8733,-12268,54463,-15136,10331,0.44,-46360,-12268,47639,-15098,11225,0.41,8042,-32422,54354,-10327,10697,0.44,6740,-19988,52532,-17678,13338,0.46,14557,-24268,70600,17507,21241,0.59,12568,-36268,51355,17619,17400,0.47,12464,-36268,51355,17619,17400,0.47,7612,-12268,42042,225,12586,0.34
2290,8520,7977,8234,8509,6397,4344,5067,49048,7111,9828,20566,8509,6740,-12268,51984.61,5547.48,18696.68,0.58,-8733,-12268,54463,-15136,10331,0.5,-46360,-12268,47639,-15098,7484,0.49,8042,-32422,54354,-10327,10697,0.5,6740,-19988,56379,-13831,15038,0.6,14557,-24268,74040,20948,21241,0.62,12568,-36268,51355,17619,15545,0.53,12464,-36268,51355,17619,15545,0.53,7612,-12268,43816,1998,14360,0.44
2164,8520,7977,8234,8509,6397,4344,5067,49048,7219,9739,20566,8509,6740,-12268,51984.61,5547.48,18696.68,0.5,-8733,-12268,54463,-15136,10331,0.46,-46360,-12268,47639,-18817,7484,0.43,8042,-32422,54354,-13123,10697,0.46,6740,-19988,56379,-13831,15038,0.5,14557,-24268,74040,20948,21241,0.59,12568,-36268,51355,15764,15545,0.48,12464,-36268,51355,15764,15545,0.48,7612,-12268,43816,-1049,14360,0.32
2282,8580,7977,8234,8509,6397,4344,5074,49115,7111,9887,20566,8509,6740,-12268,51984.61,-9762.86,18696.68,0.35,-8733,-12268,54463,-41202,10331,0.29,-46360,-12268,47639,-26647,7484,0.25,8042,-32422,54354,-36972,10697,0.29,6740,-19988,56379,-32323,15038,0.35,14557,-24268,74040,4100,21241,0.37,12568,-36268,51355,7637,15545,0.31,12464,-36268,51355,7637,15545,0.31,7612,-12268,43816,-23629,11943,0.15
2195,9936,7977,8234,8509,6397,4344,5230,50627,7111,8913,20566,8509,6740,-12268,51984.61,0,16641.01,0.39,-8733,-12268,54463,0,10331,0.34,-46360,-12268,47639,0,7484,0.27,8042,-32422,54354,0,10697,0.34,6740,-19988,56379,3847,15038,0.4,14557,-24268,74040,3441,21241,0.45,12568,-36268,51355,0,13691,0.36,12464,-36268,51355,0,13691,0.36,7612,-12268,45589,3547,13717,0.3
2068,7644,7977,8234,8509,6397,4344,4966,48071,8759,9680,20566,8509,6740,-12268,51984.61,0,24738.74,0.28,-8733,-12268,54463,0,10331,0.25,-46360,-12268,47639,0,11225,0.16,8042,-32422,54354,0,10697,0.25,6740,-19988,56379,0,17185,0.29,14557,-24268,74040,0,24682,0.24,12568,-36268,51355,0,17400,0.26,12464,-36268,51355,0,17400,0.26,7612,-12268,45589,1774,16133,0.18
2275,9648,7977,8234,8509,6397,4344,5197,50306,7111,9533,20566,8509,6740,-12268,51984.61,0,16641.01,0.49,-8733,-12268,54463,0,10331,0.41,-46360,-12268,47639,0,7484,0.31,8042,-32422,54354,0,10697,0.41,6740,-19988,56379,0,11891,0.51,14557,-24268,74040,0,21241,0.58,12568,-36268,55064,3709,17400,0.52,12464,-36268,55064,3709,17400,0.52,7612,-12268,45589,1774,13717,0.34
2261,10296,7977,8234,8509,6397,4344,5271,51028,7111,9710,20566,8509,6740,-12268,55137.56,3152.95,17738.3,0.4,-8733,-12268,54463,0,10331,0.3,-46360,-12268,53123,5484,12967,0.3,8042,-32422,54354,0,10697,0.3,6740,-19988,56379,0,11891,0.33,14557,-24268,85044,11004,28805,0.45,12568,-36268,55064,3709,15545,0.33,12464,-36268,55064,3709,15545,0.33,7612,-12268,47363,3547,13374,0.28
2270,8712,7977,8234,8509,6397,4344,5089,49262,7111,11746,20566,8509,6740,-12268,55137.56,3152.95,17738.3,0.7,-8733,-12268,58928,4465,14796,0.59,-46360,-12268,53123,5484,12967,0.52,8042,-32422,59528,5173,15870,0.58,6740,-19988,59988,3609,15500,0.58,14557,-24268,85044,11004,28805,0.79,12568,-36268,55064,3709,13691,0.62,12464,-36268,55064,3709,13691,0.62,7612,-12268,48910,3321,14921,0.42
2105,8748,7977,8234,8509,6397,4344,5093,49302,10067,8913,20566,8509,6740,-12268,55137.56,3152.95,27891.7,0.59,-8733,-12268,58928,4465,14796,0.46,-46360,-12268,53123,5484,16709,0.43,8042,-32422,59528,5173,15870,0.45,6740,-19988,59988,3609,20794,0.45,14557,-24268,85044,11004,35686,0.65,12568,-36268,55064,3709,21109,0.49,12464,-36268,55064,3709,21109,0.49,7612,-12268,48910,3321,19454,0.37
