FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Below LWC,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
01001,11712.00,14676.00,10835.00,11037.00,5438.00,4838.00,9085.00,67621.00,13448.64,11883.77,12650.00,10716.31,65248.71,484.00,-6197.00,60590.66,0.36,-48223.00,-6197.00,22951.62,0.11,484.00,-6197.00,60619.46,0.36,6702.00,-18197.00,45710.18,0.23,484.00,-6197.00,64060.16,0.44,-3398.00,-8912.00,78601.31,0.43
01003,14628.00,14676.00,10835.00,11037.00,5438.00,4838.00,9538.00,70990.00,14742.09,12272.12,12650.00,10784.81,69915.02,484.00,-6197.00,69402.09,0.42,-48223.00,-6197.00,23734.91,0.10,484.00,-6197.00,69430.89,0.42,6702.00,-18197.00,61141.95,0.36,484.00,-6197.00,72736.59,0.49,-3398.00,-8912.00,88280.00,0.57
01005,8712.00,14676.00,10835.00,11037.00,5438.00,4838.00,8619.00,64155.00,14742.09,11728.42,12650.00,11037.00,63707.51,484.00,-6197.00,57639.28,0.54,-48223.00,-6197.00,19011.65,0.05,484.00,-6197.00,57668.08,0.54,6702.00,-18197.00,35212.02,0.23,484.00,-6197.00,61153.78,0.52,-3398.00,-8912.00,75239.01,0.62
01007,11712.00,14676.00,10835.00,11037.00,5438.00,4838.00,9085.00,67621.00,14245.30,11767.26,12650.00,10774.21,65986.77,484.00,-6197.00,64345.18,0.60,-48223.00,-6197.00,22213.56,0.12,484.00,-6197.00,64373.98,0.60,6702.00,-18197.00,48727.54,0.31,484.00,-6197.00,63322.10,0.46,-3398.00,-8912.00,82766.75,0.57
01009,11712.00,14676.00,10835.00,11037.00,5438.00,4838.00,9085.00,67621.00,13001.02,11029.38,12650.00,10775.99,64006.39,484.00,-6197.00,57340.40,0.44,-48223.00,-6197.00,24193.94,0.11,484.00,-6197.00,57369.20,0.44,6702.00,-18197.00,37832.70,0.24,484.00,-6197.00,60854.90,0.42,-3398.00,-8912.00,79843.63,0.49
01011,8976.00,14676.00,10835.00,11037.00,5438.00,4838.00,8660.00,64460.00,13001.02,11301.23,12650.00,11037.00,61803.25,484.00,-6197.00,55050.96,0.47,-48223.00,-6197.00,20915.91,0.09,484.00,-6197.00,55079.76,0.47,6702.00,-18197.00,31277.17,0.25,484.00,-6197.00,54162.88,0.48,-3398.00,-8912.00,72239.77,0.63
01013,9864.00,14676.00,10835.00,11037.00,5438.00,4838.00,8798.00,65486.00,13001.02,11340.06,12650.00,11037.00,62730.09,484.00,-6197.00,54124.12,0.50,-48223.00,-6197.00,19989.08,0.05,484.00,-6197.00,54152.92,0.50,6702.00,-18197.00,33269.89,0.29,484.00,-6197.00,57683.62,0.59,-3398.00,-8912.00,76216.43,0.65
01015,10524.00,14676.00,10835.00,11037.00,5438.00,4838.00,8901.00,66249.00,14471.71,11728.42,12650.00,9995.31,64207.44,484.00,-6197.00,57139.35,0.48,-48223.00,-6197.00,23992.90,0.16,484.00,-6197.00,57168.15,0.48,6702.00,-18197.00,37631.65,0.31,484.00,-6197.00,60653.85,0.45,-3398.00,-8912.00,79642.58,0.53
01017,9204.00,14676.00,10835.00,11037.00,5438.00,4838.00,8696.00,64724.00,13686.11,10757.53,12650.00,9536.99,60672.63,484.00,-6197.00,51661.09,0.51,-48223.00,-6197.00,22046.53,0.22,484.00,-6197.00,51689.89,0.51,6702.00,-18197.00,29488.24,0.30,484.00,-6197.00,55293.50,0.48,-3398.00,-8912.00,73370.39,0.67
01019,10008.00,14676.00,10835.00,11037.00,5438.00,4838.00,8821.00,65653.00,13686.11,11301.23,12650.00,11037.00,63520.34,484.00,-6197.00,57826.45,0.55,-48223.00,-6197.00,19198.82,0.04,484.00,-6197.00,57855.25,0.55,6702.00,-18197.00,35399.19,0.37,484.00,-6197.00,61340.95,0.53,-3398.00,-8912.00,75426.18,0.61
